000 COC(=O)O
017 CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N
018 c1cc(c(cc1C(F)(F)F)[N+](=O)[O-])NCc2ccsc2
019 CC(C)c1nc(cs1)CN(C)C(=O)O
01A CC(C)(CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSCC(=O)c4ccc(cc4)Cl)O
01B c1ccc(cc1)C[C@H]([C@@H](C(=O)O)O)N
01C c1ccc2c(c1)c(c[nH]2)C[C@@H](C(=O)C(C(F)(F)F)(F)F)N
01E C[C@@H]([C@@H](C(=O)NCc1ccc(cc1)I)O)NC(=O)[C@H](CC(=O)n2cccc2)NC(=O)[C@H](C(C)(C)C)NC(=O)CC(C)(C)C
01F CCOC(=O)O
01G C1COCCN1c2nc3c(n2[C@H]4[C@@H]([C@@H]([C@H](O4)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N=C(NC3=O)N
01H C(CCNN)CN
01I c1cc2c(cc(o2)C(=O)O)c3c1cc4cc(oc4c3)C(=O)O
01J c1ccc(cc1)C(c2ccccc2)[C@H](C(=O)O)N[C@@H](N3CCOCC3)O
01K CC(=O)N[C@H](CCCCNC(=O)CSCCNC(=O)CCNC(=O)[C@@H](C(C)(C)CO[P@@](=O)(O)O[P@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O)C(=O)N
01L B([C@H](CCCOC)N)(O)O
01M [H]/N=C(\N)/N1CCC[C@@H](C1)C(=O)O
01N C1CCC(CC1)C[C@H](C(=O)O)NCC(=O)O
01O [H]/N=C(\c1cc(cn1C)CN)/N
01P COc1cc(ccc1N2CCOCC2)Nc3nccc(n3)Nc4cc5ccccc5nc4
01Q [H]/N=C(\c1ccc(n1C)CN)/N
01R c1cnccc1NCCN
01T CCc1c(c(c(c(n1)CC(C)(C)C)CN)c2ccc(cc2)C)CC(=O)O
01U c1cc2c(cc1N)sc(n2)N
01V c1cc(c(cc1Cl)CN)Cl
01W c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])NCC[C@@H](C(=O)[O-])[NH3+]
01X c1cc(c(cc1Cl)CN)OCC(=O)O
01Y C1CCC(C1)OCC(=O)O
01Z C1CCC(CC1)OCC(=O)O
020 c1cc(oc1)CNc2ccc(cc2[N+](=O)[O-])C(F)(F)F
021 C1CCC(C1)NCC(=O)O
022 Cc1cc(ccc1n2c(ccc2c3ccc(cc3)n4ccnc4)CCC(=O)O)C(=O)N
023 C[C@@H]([C@@H](CCCc1ccccc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)N(C=O)O
024 c1cc(cc(c1)NC2CCCCC2)c3c(c(c(s3)C(=O)O)OCC(=O)O)Br
025 c1cc(cc(c1)S(=O)(=O)O)C(F)(F)F
026 C1CN(CCN1)CCCN
027 Cc1cc(n[nH]1)NC2=NN(C(=O)c3c2ccc(c3)N4CCN(CC4)C)C(C)C
028 CCCCCCC(O)(P(=O)(O)O)P(=O)(O)O
029 [H]/N=C(\N)/NCC1CCC(CC1)C(=O)O
02A C1CN[C@@H]1C(=O)O
02B Cc1cc(c(c(c1S(=O)(=O)O)C)C)OC
02C [H]/N=C(/c1csc(n1)CN)\N
02D [H]/N=C(/c1ccc(s1)CN)\N
02E CO/C=C/C[C@@H](N)P(O)(O)(Oc1ccccc1)Oc2ccccc2
02F COCCC[C@@H](N)P(=O)(O)O
02G C(CS)/C=C/[C@H](CC(=O)O)O
02H c1ccc(cc1)C[C@@H](C[C@@H]([C@H](Cc2ccc(cc2)c3cccnc3)N)O)N
02I c1nc(c2c(n1)n3c(n2)[C@@H]([C@@H]4[C@H](C[C@H]3O4)O)OP(=O)(O)O)N
02J Cc1cc(no1)C(=O)O
02K C1CCC(CC1)(C(=O)O)N
02L CC(C)(C)CNC(=O)C[C@@H](C(=O)O)N
02N Cc1ccc(cc1)CN
02O CC(C)(C)c1nc(on1)C[C@@H](C(=O)O)N
02P C[n+]1ccc(cc1CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)N)Cl
02Q Cc1ccccc1CCC(=O)O
02R c1ccc(c(c1)CN)Cl
02S c1ccc(cc1)COc2ccc(cc2)C(=O)O
02T Cc1ccsc1CN
02U CCC(C)CCCC=CCCCCCCCC(=O)O
02V CN[C@@H](c1ccc(c(c1)O)O)C(=O)O
02W Cc1nc2ccccc2n1CCN
02X CC(C)[C@H](CC(=O)O)C(=O)O
02Y C(CC(=O)C[N+]#N)[C@@H](C(=O)O)N
02Z c1ccc(cc1)Nc2nc(c(s2)C(=O)N)N
030 C1[C@H](C[C@@H]2[C@H]1[C@H](CO2)O)OC(=O)O
031 COc1ccc(cc1)S(=O)(=O)[N@@](C[C@H]2CCC(=O)N2)C[C@H]([C@H](Cc3ccccc3)NC(=O)O[C@@H]4C[C@@H]5CCO[C@@H]5C4)O
032 CCCS(=O)(=O)Nc1ccc(c(c1F)C(=O)c2c[nH]c3c2cc(cn3)c4ccc(cc4)Cl)F
