,macss_per_screen,maccs_per_actives,morgan_per_screen,morgan_per_actives
788,0.1743646408839779,0.2446183953033268,0.1743646408839779,0.2457925636007827
789,0.174585635359116,0.2446183953033268,0.174585635359116,0.2461839530332681
790,0.1748066298342541,0.2450097847358121,0.1748066298342541,0.2465753424657534
791,0.1750276243093922,0.2454011741682974,0.1750276243093922,0.2469667318982387
792,0.1752486187845303,0.2457925636007827,0.1752486187845303,0.247358121330724
793,0.1754696132596685,0.2461839530332681,0.1754696132596685,0.247358121330724
794,0.1756906077348066,0.2465753424657534,0.1756906077348066,0.2477495107632094
795,0.1759116022099447,0.2469667318982387,0.1759116022099447,0.2477495107632094
796,0.1761325966850828,0.2469667318982387,0.1761325966850828,0.2477495107632094
797,0.176353591160221,0.247358121330724,0.176353591160221,0.2477495107632094
798,0.1765745856353591,0.2477495107632094,0.1765745856353591,0.2481409001956947
799,0.1767955801104972,0.2481409001956947,0.1767955801104972,0.2481409001956947
800,0.1770165745856353,0.24853228962818,0.1770165745856353,0.24853228962818
801,0.1772375690607734,0.2489236790606653,0.1772375690607734,0.2489236790606653
802,0.1774585635359116,0.2489236790606653,0.1774585635359116,0.2493150684931507
803,0.1776795580110497,0.2489236790606653,0.1776795580110497,0.249706457925636
804,0.1779005524861878,0.2493150684931507,0.1779005524861878,0.2500978473581213
805,0.1781215469613259,0.249706457925636,0.1781215469613259,0.2504892367906066
806,0.178342541436464,0.2500978473581213,0.178342541436464,0.250880626223092
807,0.1785635359116022,0.2504892367906066,0.1785635359116022,0.2512720156555773
808,0.1787845303867403,0.250880626223092,0.1787845303867403,0.2516634050880626
809,0.1790055248618784,0.2512720156555773,0.1790055248618784,0.2520547945205479
810,0.1792265193370165,0.2516634050880626,0.1792265193370165,0.2520547945205479
811,0.1794475138121547,0.2520547945205479,0.1794475138121547,0.2524461839530332
812,0.1796685082872928,0.2524461839530332,0.1796685082872928,0.2528375733855186
813,0.1798895027624309,0.2528375733855186,0.1798895027624309,0.2532289628180039
814,0.180110497237569,0.2532289628180039,0.180110497237569,0.2536203522504892
815,0.1803314917127071,0.2536203522504892,0.1803314917127071,0.2540117416829746
816,0.1805524861878453,0.2540117416829746,0.1805524861878453,0.2544031311154598
817,0.1807734806629834,0.2544031311154598,0.1807734806629834,0.2547945205479452
818,0.1809944751381215,0.2544031311154598,0.1809944751381215,0.2547945205479452
819,0.1812154696132596,0.2544031311154598,0.1812154696132596,0.2551859099804305
820,0.1814364640883977,0.2547945205479452,0.1814364640883977,0.2551859099804305
821,0.1816574585635359,0.2551859099804305,0.1816574585635359,0.2555772994129158
822,0.181878453038674,0.2555772994129158,0.181878453038674,0.2555772994129158
823,0.1820994475138121,0.2559686888454012,0.1820994475138121,0.2555772994129158
824,0.1823204419889502,0.2563600782778865,0.1823204419889502,0.2559686888454012
825,0.1825414364640884,0.2567514677103718,0.1825414364640884,0.2563600782778865
826,0.1827624309392265,0.2567514677103718,0.1827624309392265,0.2563600782778865
827,0.1829834254143646,0.2571428571428571,0.1829834254143646,0.2563600782778865
828,0.1832044198895027,0.2575342465753424,0.1832044198895027,0.2567514677103718
829,0.1834254143646408,0.2579256360078278,0.1834254143646408,0.2571428571428571
830,0.183646408839779,0.2583170254403131,0.183646408839779,0.2571428571428571
831,0.1838674033149171,0.2587084148727984,0.1838674033149171,0.2575342465753424
832,0.1840883977900552,0.2590998043052837,0.1840883977900552,0.2579256360078278
